;Er (m)
1950-01-01 00:00:00;-0.0039134016
1950-02-01 00:00:00;-0.004016848
1950-03-01 00:00:00;-0.0034858265
1950-04-01 00:00:00;-0.003357318
1950-05-01 00:00:00;-0.0028351033
1950-06-01 00:00:00;-0.0015887162
1950-07-01 00:00:00;-0.0011226056
1950-08-01 00:00:00;-0.0009481229
1950-09-01 00:00:00;-0.0010921205
1950-10-01 00:00:00;-0.001800247
1950-11-01 00:00:00;-0.0035527195
1950-12-01 00:00:00;-0.0032602232
1951-01-01 00:00:00;-0.0035179823
1951-02-01 00:00:00;-0.003929891
1951-03-01 00:00:00;-0.0035179043
1951-04-01 00:00:00;-0.0034969654
1951-05-01 00:00:00;-0.002943838
1951-06-01 00:00:00;-0.0019745093
1951-07-01 00:00:00;-0.001351211
1951-08-01 00:00:00;-0.0011424492
1951-09-01 00:00:00;-0.0013215354
1951-10-01 00:00:00;-0.0010964491
1951-11-01 00:00:00;-0.0010482931
1951-12-01 00:00:00;-0.0028309205
1952-01-01 00:00:00;-0.0040722075
1952-02-01 00:00:00;-0.0038908087
1952-03-01 00:00:00;-0.0038277614
1952-04-01 00:00:00;-0.0033241531
1952-05-01 00:00:00;-0.0029270258
1952-06-01 00:00:00;-0.00154211
1952-07-01 00:00:00;-0.0010823272
1952-08-01 00:00:00;-0.0009710559
1952-09-01 00:00:00;-0.0010624905
1952-10-01 00:00:00;-0.0010645624
1952-11-01 00:00:00;-0.0029676727
1952-12-01 00:00:00;-0.0035385683
1953-01-01 00:00:00;-0.003868335
1953-02-01 00:00:00;-0.0035963226
1953-03-01 00:00:00;-0.0038701184
1953-04-01 00:00:00;-0.0034196533
1953-05-01 00:00:00;-0.0024133231
1953-06-01 00:00:00;-0.0012115086
1953-07-01 00:00:00;-0.0008757954
1953-08-01 00:00:00;-0.0007963283
1953-09-01 00:00:00;-0.0010642328
1953-10-01 00:00:00;-0.0020279696
1953-11-01 00:00:00;-0.0023691356
1953-12-01 00:00:00;-0.0032524061
1954-01-01 00:00:00;-0.003646597
1954-02-01 00:00:00;-0.0038380488
1954-03-01 00:00:00;-0.003403735
1954-04-01 00:00:00;-0.0034675985
1954-05-01 00:00:00;-0.0024723269
1954-06-01 00:00:00;-0.0013240624
1954-07-01 00:00:00;-0.0009344965
1954-08-01 00:00:00;-0.00078014575
1954-09-01 00:00:00;-0.0007731649
1954-10-01 00:00:00;-0.0007774662
1954-11-01 00:00:00;-0.0020863481
1954-12-01 00:00:00;-0.003839038
1955-01-01 00:00:00;-0.0032980633
1955-02-01 00:00:00;-0.0038359424
1955-03-01 00:00:00;-0.0027077778
1955-04-01 00:00:00;-0.0030390911
1955-05-01 00:00:00;-0.0014316895
1955-06-01 00:00:00;-0.00076925324
1955-07-01 00:00:00;-0.0005486379
1955-08-01 00:00:00;-0.00050101423
1955-09-01 00:00:00;-0.00046130558
1955-10-01 00:00:00;-0.0019353443
1955-11-01 00:00:00;-0.0032436235
1955-12-01 00:00:00;-0.0038983477
1956-01-01 00:00:00;-0.00279998
1956-02-01 00:00:00;-0.0030525082
1956-03-01 00:00:00;-0.0035475916
1956-04-01 00:00:00;-0.0033647164
1956-05-01 00:00:00;-0.0029299632
1956-06-01 00:00:00;-0.0016752451
1956-07-01 00:00:00;-0.001037666
1956-08-01 00:00:00;-0.000841483
1956-09-01 00:00:00;-0.0008118219
1956-10-01 00:00:00;-0.0017177372
1956-11-01 00:00:00;-0.0029699858
1956-12-01 00:00:00;-0.0034085314
1957-01-01 00:00:00;-0.00396832
1957-02-01 00:00:00;-0.0037756746
1957-03-01 00:00:00;-0.0034888135
1957-04-01 00:00:00;-0.0033182835
1957-05-01 00:00:00;-0.00268067
1957-06-01 00:00:00;-0.0014822461
1957-07-01 00:00:00;-0.0011242982
1957-08-01 00:00:00;-0.001003387
1957-09-01 00:00:00;-0.0010716364
1957-10-01 00:00:00;-0.0015985161
1957-11-01 00:00:00;-0.0022619176
1957-12-01 00:00:00;-0.0035983392
1958-01-01 00:00:00;-0.003148962
1958-02-01 00:00:00;-0.0043190513
1958-03-01 00:00:00;-0.003985991
1958-04-01 00:00:00;-0.003790504
1958-05-01 00:00:00;-0.0021232797
1958-06-01 00:00:00;-0.0011878462
1958-07-01 00:00:00;-0.0012601147
1958-08-01 00:00:00;-0.0010414952
1958-09-01 00:00:00;-0.0008519939
1958-10-01 00:00:00;-0.0013839336
1958-11-01 00:00:00;-0.002588089
1958-12-01 00:00:00;-0.0019158162
1959-01-01 00:00:00;-0.0039610076
1959-02-01 00:00:00;-0.00379879
1959-03-01 00:00:00;-0.003539546
1959-04-01 00:00:00;-0.0030861748
1959-05-01 00:00:00;-0.0017063528
1959-06-01 00:00:00;-0.0010086761
1959-07-01 00:00:00;-0.00073741237
1959-08-01 00:00:00;-0.000704021
1959-09-01 00:00:00;-0.000642118
1959-10-01 00:00:00;-0.001059066
1959-11-01 00:00:00;-0.0025248665
1959-12-01 00:00:00;-0.003336689
1960-01-01 00:00:00;-0.0035453339
1960-02-01 00:00:00;-0.003913201
1960-03-01 00:00:00;-0.0032147013
1960-04-01 00:00:00;-0.0037088448
1960-05-01 00:00:00;-0.0022866859
1960-06-01 00:00:00;-0.0012457103
1960-07-01 00:00:00;-0.0009280018
1960-08-01 00:00:00;-0.00087335834
1960-09-01 00:00:00;-0.00087270443
1960-10-01 00:00:00;-0.0008927157
1960-11-01 00:00:00;-0.0013782302
1960-12-01 00:00:00;-0.0025968617
1961-01-01 00:00:00;-0.003607293
1961-02-01 00:00:00;-0.004006842
1961-03-01 00:00:00;-0.0041124257
1961-04-01 00:00:00;-0.0028483137
1961-05-01 00:00:00;-0.0014773582
1961-06-01 00:00:00;-0.00076689624
1961-07-01 00:00:00;-0.00058619224
1961-08-01 00:00:00;-0.00053262105
1961-09-01 00:00:00;-0.00053499074
1961-10-01 00:00:00;-0.00048033474
1961-11-01 00:00:00;-0.000752169
1961-12-01 00:00:00;-0.0029356622
1962-01-01 00:00:00;-0.0035124621
1962-02-01 00:00:00;-0.0038330518
1962-03-01 00:00:00;-0.0037413382
1962-04-01 00:00:00;-0.0032526404
1962-05-01 00:00:00;-0.0024523365
1962-06-01 00:00:00;-0.0011678678
1962-07-01 00:00:00;-0.0008348086
1962-08-01 00:00:00;-0.0006728204
1962-09-01 00:00:00;-0.0006144732
1962-10-01 00:00:00;-0.0015670218
1962-11-01 00:00:00;-0.003280088
1962-12-01 00:00:00;-0.003296061
1963-01-01 00:00:00;-0.0041987672
1963-02-01 00:00:00;-0.0037757214
1963-03-01 00:00:00;-0.0039624562
1963-04-01 00:00:00;-0.0034479513
1963-05-01 00:00:00;-0.0027089908
1963-06-01 00:00:00;-0.0014413806
1963-07-01 00:00:00;-0.0010179117
1963-08-01 00:00:00;-0.00090958615
1963-09-01 00:00:00;-0.00083907647
1963-10-01 00:00:00;-0.0008033145
1963-11-01 00:00:00;-0.0029769766
1963-12-01 00:00:00;-0.0020935996
1964-01-01 00:00:00;-0.0028713024
1964-02-01 00:00:00;-0.0037151906
1964-03-01 00:00:00;-0.0038184398
1964-04-01 00:00:00;-0.0034676986
1964-05-01 00:00:00;-0.002848274
1964-06-01 00:00:00;-0.0017600219
1964-07-01 00:00:00;-0.0012123096
1964-08-01 00:00:00;-0.0010483852
1964-09-01 00:00:00;-0.0011646387
1964-10-01 00:00:00;-0.0026441854
1964-11-01 00:00:00;-0.0032937077
1964-12-01 00:00:00;-0.003919205
1965-01-01 00:00:00;-0.0040340833
1965-02-01 00:00:00;-0.0041558887
1965-03-01 00:00:00;-0.0036256071
1965-04-01 00:00:00;-0.00334201
1965-05-01 00:00:00;-0.003175308
1965-06-01 00:00:00;-0.0017948756
1965-07-01 00:00:00;-0.0012918818
1965-08-01 00:00:00;-0.0011524847
1965-09-01 00:00:00;-0.0011084257
1965-10-01 00:00:00;-0.0023327074
1965-11-01 00:00:00;-0.0023988953
1965-12-01 00:00:00;-0.0036843242
1966-01-01 00:00:00;-0.0035920106
1966-02-01 00:00:00;-0.0035732095
1966-03-01 00:00:00;-0.0039367224
1966-04-01 00:00:00;-0.0031570538
1966-05-01 00:00:00;-0.0028577568
1966-06-01 00:00:00;-0.0022128248
1966-07-01 00:00:00;-0.0013581542
1966-08-01 00:00:00;-0.0011891908
1966-09-01 00:00:00;-0.001254294
1966-10-01 00:00:00;-0.002004306
1966-11-01 00:00:00;-0.0028574741
1966-12-01 00:00:00;-0.0035793998
1967-01-01 00:00:00;-0.0038854016
1967-02-01 00:00:00;-0.004041761
1967-03-01 00:00:00;-0.0037749081
1967-04-01 00:00:00;-0.0035557894
1967-05-01 00:00:00;-0.0026752998
1967-06-01 00:00:00;-0.0013973843
1967-07-01 00:00:00;-0.0010345022
1967-08-01 00:00:00;-0.00090926886
1967-09-01 00:00:00;-0.00088923
1967-10-01 00:00:00;-0.0010443185
1967-11-01 00:00:00;-0.0033613415
1967-12-01 00:00:00;-0.0035000914
1968-01-01 00:00:00;-0.004197269
1968-02-01 00:00:00;-0.0033713242
1968-03-01 00:00:00;-0.0037811233
1968-04-01 00:00:00;-0.0034296983
1968-05-01 00:00:00;-0.002234477
1968-06-01 00:00:00;-0.0011757306
1968-07-01 00:00:00;-0.000934427
1968-08-01 00:00:00;-0.00095037464
1968-09-01 00:00:00;-0.0008706947
1968-10-01 00:00:00;-0.0027183683
1968-11-01 00:00:00;-0.0029498443
1968-12-01 00:00:00;-0.004009725
1969-01-01 00:00:00;-0.0039325785
1969-02-01 00:00:00;-0.0042447145
1969-03-01 00:00:00;-0.0037222356
1969-04-01 00:00:00;-0.0029309855
1969-05-01 00:00:00;-0.001861069
1969-06-01 00:00:00;-0.0010456766
1969-07-01 00:00:00;-0.00083618244
1969-08-01 00:00:00;-0.0008201757
1969-09-01 00:00:00;-0.0008347677
1969-10-01 00:00:00;-0.0013396303
1969-11-01 00:00:00;-0.0023816891
1969-12-01 00:00:00;-0.0033678892
1970-01-01 00:00:00;-0.0036103607
1970-02-01 00:00:00;-0.0039987713
1970-03-01 00:00:00;-0.0037054839
1970-04-01 00:00:00;-0.0027443066
1970-05-01 00:00:00;-0.0020934767
1970-06-01 00:00:00;-0.0010498367
1970-07-01 00:00:00;-0.0007565863
1970-08-01 00:00:00;-0.0007288828
1970-09-01 00:00:00;-0.00077158393
1970-10-01 00:00:00;-0.0031182982
1970-11-01 00:00:00;-0.0035298604
1970-12-01 00:00:00;-0.00410819
1971-01-01 00:00:00;-0.0033468604
1971-02-01 00:00:00;-0.003790673
1971-03-01 00:00:00;-0.0038040369
1971-04-01 00:00:00;-0.0032431458
1971-05-01 00:00:00;-0.0027535374
1971-06-01 00:00:00;-0.001751446
1971-07-01 00:00:00;-0.0011210137
1971-08-01 00:00:00;-0.0009304246
1971-09-01 00:00:00;-0.0011914541
1971-10-01 00:00:00;-0.002797789
1971-11-01 00:00:00;-0.0035937608
1971-12-01 00:00:00;-0.0040415106
1972-01-01 00:00:00;-0.0038570939
1972-02-01 00:00:00;-0.003969933
1972-03-01 00:00:00;-0.0038844098
1972-04-01 00:00:00;-0.0035151665
1972-05-01 00:00:00;-0.0024209775
1972-06-01 00:00:00;-0.0016485241
1972-07-01 00:00:00;-0.0010563267
1972-08-01 00:00:00;-0.0009951438
1972-09-01 00:00:00;-0.0009116283
1972-10-01 00:00:00;-0.0024586085
1972-11-01 00:00:00;-0.0036031862
1972-12-01 00:00:00;-0.0036733006
1973-01-01 00:00:00;-0.0044053067
1973-02-01 00:00:00;-0.003877307
1973-03-01 00:00:00;-0.003690373
1973-04-01 00:00:00;-0.0037483831
1973-05-01 00:00:00;-0.0027592701
1973-06-01 00:00:00;-0.0016128086
1973-07-01 00:00:00;-0.0011058352
1973-08-01 00:00:00;-0.0010068847
1973-09-01 00:00:00;-0.0009675809
1973-10-01 00:00:00;-0.0030946538
1973-11-01 00:00:00;-0.0034878517
1973-12-01 00:00:00;-0.003993346
1974-01-01 00:00:00;-0.00413357
1974-02-01 00:00:00;-0.00399
1974-03-01 00:00:00;-0.0034677293
1974-04-01 00:00:00;-0.0035363599
1974-05-01 00:00:00;-0.0028683108
1974-06-01 00:00:00;-0.0015829536
1974-07-01 00:00:00;-0.0010439119
1974-08-01 00:00:00;-0.0010287352
1974-09-01 00:00:00;-0.00088222156
1974-10-01 00:00:00;-0.0025626663
1974-11-01 00:00:00;-0.003664537
1974-12-01 00:00:00;-0.003921283
1975-01-01 00:00:00;-0.0039822035
1975-02-01 00:00:00;-0.004151243
1975-03-01 00:00:00;-0.0035003743
1975-04-01 00:00:00;-0.0033601774
1975-05-01 00:00:00;-0.0024605636
1975-06-01 00:00:00;-0.0013537359
1975-07-01 00:00:00;-0.001024821
1975-08-01 00:00:00;-0.00089153845
1975-09-01 00:00:00;-0.0008479242
1975-10-01 00:00:00;-0.0022732685
1975-11-01 00:00:00;-0.003760466
1975-12-01 00:00:00;-0.0037367435
1976-01-01 00:00:00;-0.0034794868
1976-02-01 00:00:00;-0.0035401527
1976-03-01 00:00:00;-0.0033977118
1976-04-01 00:00:00;-0.0022377959
1976-05-01 00:00:00;-0.0022748495
1976-06-01 00:00:00;-0.001041401
1976-07-01 00:00:00;-0.00068349036
1976-08-01 00:00:00;-0.0006294006
1976-09-01 00:00:00;-0.0011026069
1976-10-01 00:00:00;-0.0031569905
1976-11-01 00:00:00;-0.0034083363
1976-12-01 00:00:00;-0.0038470656
1977-01-01 00:00:00;-0.003086965
1977-02-01 00:00:00;-0.003914586
1977-03-01 00:00:00;-0.0032304584
1977-04-01 00:00:00;-0.0030666164
1977-05-01 00:00:00;-0.0028504543
1977-06-01 00:00:00;-0.001799668
1977-07-01 00:00:00;-0.0010791018
1977-08-01 00:00:00;-0.0008991293
1977-09-01 00:00:00;-0.0011007212
1977-10-01 00:00:00;-0.003015227
1977-11-01 00:00:00;-0.0031609805
1977-12-01 00:00:00;-0.0034345866
1978-01-01 00:00:00;-0.0039373715
1978-02-01 00:00:00;-0.003416793
1978-03-01 00:00:00;-0.0035379343
1978-04-01 00:00:00;-0.0033797494
1978-05-01 00:00:00;-0.0029203666
1978-06-01 00:00:00;-0.0023493008
1978-07-01 00:00:00;-0.0016582244
1978-08-01 00:00:00;-0.0013021341
1978-09-01 00:00:00;-0.0011942053
1978-10-01 00:00:00;-0.0025083565
1978-11-01 00:00:00;-0.0033188101
1978-12-01 00:00:00;-0.003682749
1979-01-01 00:00:00;-0.0030826435
1979-02-01 00:00:00;-0.0031363363
1979-03-01 00:00:00;-0.003909971
1979-04-01 00:00:00;-0.0035263223
1979-05-01 00:00:00;-0.0026155568
1979-06-01 00:00:00;-0.0014136684
1979-07-01 00:00:00;-0.0011573223
1979-08-01 00:00:00;-0.001188922
1979-09-01 00:00:00;-0.0013179007
1979-10-01 00:00:00;-0.0021902157
1979-11-01 00:00:00;-0.0036699793
1979-12-01 00:00:00;-0.0038414686
1980-01-01 00:00:00;-0.0034615768
1980-02-01 00:00:00;-0.0031190284
1980-03-01 00:00:00;-0.0039358097
1980-04-01 00:00:00;-0.0027780468
1980-05-01 00:00:00;-0.0016321322
1980-06-01 00:00:00;-0.0010016578
1980-07-01 00:00:00;-0.0008729539
1980-08-01 00:00:00;-0.0008306266
1980-09-01 00:00:00;-0.0012293427
1980-10-01 00:00:00;-0.002146832
1980-11-01 00:00:00;-0.0031783925
1980-12-01 00:00:00;-0.0035580522
1981-01-01 00:00:00;-0.00404308
1981-02-01 00:00:00;-0.004110133
1981-03-01 00:00:00;-0.0030864868
1981-04-01 00:00:00;-0.0034716732
1981-05-01 00:00:00;-0.0023068083
1981-06-01 00:00:00;-0.0015611425
1981-07-01 00:00:00;-0.0011322765
1981-08-01 00:00:00;-0.0012543929
1981-09-01 00:00:00;-0.0010766218
1981-10-01 00:00:00;-0.0023278454
1981-11-01 00:00:00;-0.0032470978
1981-12-01 00:00:00;-0.003883212
1982-01-01 00:00:00;-0.0034172025
1982-02-01 00:00:00;-0.0038248852
1982-03-01 00:00:00;-0.0037611725
1982-04-01 00:00:00;-0.003532877
1982-05-01 00:00:00;-0.0023749147
1982-06-01 00:00:00;-0.0013610716
1982-07-01 00:00:00;-0.0010140879
1982-08-01 00:00:00;-0.00096727035
1982-09-01 00:00:00;-0.001693553
1982-10-01 00:00:00;-0.0026989812
1982-11-01 00:00:00;-0.0027736323
1982-12-01 00:00:00;-0.0024304627
1983-01-01 00:00:00;-0.0033467256
1983-02-01 00:00:00;-0.0038496135
1983-03-01 00:00:00;-0.003422454
1983-04-01 00:00:00;-0.0035028483
1983-05-01 00:00:00;-0.0017991698
1983-06-01 00:00:00;-0.001077979
1983-07-01 00:00:00;-0.0008345351
1983-08-01 00:00:00;-0.0008055311
1983-09-01 00:00:00;-0.00089709886
1983-10-01 00:00:00;-0.0022148225
1983-11-01 00:00:00;-0.0033231534
1983-12-01 00:00:00;-0.003849872
1984-01-01 00:00:00;-0.004173272
1984-02-01 00:00:00;-0.003771429
1984-03-01 00:00:00;-0.0034128586
1984-04-01 00:00:00;-0.0034206507
1984-05-01 00:00:00;-0.002447646
1984-06-01 00:00:00;-0.0013371689
1984-07-01 00:00:00;-0.0009747992
1984-08-01 00:00:00;-0.0010664298
1984-09-01 00:00:00;-0.0015643284
1984-10-01 00:00:00;-0.001813737
1984-11-01 00:00:00;-0.0030706334
1984-12-01 00:00:00;-0.0037119086
1985-01-01 00:00:00;-0.0028927908
1985-02-01 00:00:00;-0.004227094
1985-03-01 00:00:00;-0.0038039226
1985-04-01 00:00:00;-0.003461008
1985-05-01 00:00:00;-0.0028919908
1985-06-01 00:00:00;-0.0019458699
1985-07-01 00:00:00;-0.0012300764
1985-08-01 00:00:00;-0.0010998237
1985-09-01 00:00:00;-0.0012056895
1985-10-01 00:00:00;-0.0031571449
1985-11-01 00:00:00;-0.0034911206
1985-12-01 00:00:00;-0.0030560184
1986-01-01 00:00:00;-0.004064161
1986-02-01 00:00:00;-0.0042546266
1986-03-01 00:00:00;-0.0038891474
1986-04-01 00:00:00;-0.0031811083
1986-05-01 00:00:00;-0.002535096
1986-06-01 00:00:00;-0.0012146524
